Series_Title,Released_Year,Genre,IMDB_Rating,language
Dark Phoenix,2019,"Science Fiction, Action, Adventure",5.971,en
Kung Fu Panda,2008,"Action, Adventure, Animation, Family, Comedy",7.3,en
Platoon,1986,"Drama, War, Action",7.743,en
Mission: Impossible - Ghost Protocol,2011,"Action, Thriller, Adventure",7.1,en
Lost in Space,1998,"Science Fiction, Adventure",5.4,en
Elemental,2023,"Animation, Comedy, Family, Fantasy, Romance",7.614,en
Pirates of the Caribbean: Dead Man's Chest,2006,"Adventure, Fantasy, Action",7.366,en
The Idea of You,2024,"Romance, Drama, Comedy",7.371,en
Back to the Future,1985,"Adventure, Comedy, Science Fiction",8.321,en
The Lion King,1994,"Family, Animation, Drama",8.258,en
The Conjuring: The Devil Made Me Do It,2021,"Horror, Mystery, Thriller",7.406,en
Kong: Skull Island,2017,"Action, Adventure, Fantasy",6.546,en
The Equalizer,2014,"Thriller, Action, Crime",7.28,en
Wonder Woman 1984,2020,"Action, Adventure, Fantasy",6.408,en
Up,2009,"Animation, Comedy, Family, Adventure",7.957,en
Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure, Science Fiction",8.398,en
North by Northwest,1959,"Thriller, Adventure",7.981,en
Nobody,2021,"Action, Thriller",7.923,en
Death Wish,2018,"Action, Crime, Thriller, Drama",6.2,en
The Lord of the Rings: The Two Towers,2002,"Adventure, Fantasy, Action",8.406,en
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,"Science Fiction, Comedy, Adventure, Romance",5.992,en
The Truman Show,1998,"Comedy, Drama",8.147,en
Wind River,2017,"Crime, Mystery, Thriller",7.434,en
Five Nights at Freddy's,2023,"Horror, Thriller",7.451,en
Finding Nemo,2003,"Animation, Family",7.816,en
Mission: Impossible - Rogue Nation,2015,"Action, Adventure",7.215,en
Pirates of the Caribbean: On Stranger Tides,2011,"Adventure, Action, Fantasy",6.559,en
Stitch! The Movie,2003,"Comedy, Adventure, Family, Animation, Science Fiction",6.433,en
Fantastic Beasts: The Crimes of Grindelwald,2018,"Fantasy, Adventure",6.845,en
Guardians of the Galaxy Vol. 3,2023,"Science Fiction, Adventure, Action, Comedy",7.941,en
Inside Out,2015,"Animation, Family, Adventure, Drama, Comedy",7.911,en
Aquaman and the Lost Kingdom,2023,"Action, Adventure, Fantasy",6.604,en
Friday the 13th,1980,Horror,6.409,en
Jumanji: Welcome to the Jungle,2017,"Adventure, Comedy, Fantasy, Action, Family",6.821,en
Spider-Man 3,2007,"Action, Adventure, Science Fiction",6.439,en
Django Unchained,2012,"Drama, Western",8.183,en
Our Man Flint,1966,"Action, Comedy, Adventure, Science Fiction",6.407,en
Girl Play,2004,"Comedy, Romance",5.8,en
Ghosted,2023,"Action, Comedy, Romance",6.939,en
Werewolves,2024,"Action, Horror, Thriller",6.07,en
The Dark Knight Rises,2012,"Action, Crime, Drama, Thriller",7.785,en
The Conjuring 2,2016,Horror,7.292,en
The Walk,2015,"History, Drama, Adventure",6.99,en
Iron Man 2,2010,"Adventure, Action, Science Fiction",6.849,en
Shutter Island,2010,"Drama, Thriller, Mystery",8.201,en
The Little Mermaid,2023,"Adventure, Family, Fantasy, Romance",6.314,en
Cruella,2021,"Comedy, Crime, Adventure",7.993,en
Transformers One,2024,"Animation, Science Fiction, Adventure, Family",8.075,en
The Amazing Spider-Man,2012,"Action, Adventure, Science Fiction",6.715,en
Pirates of the Caribbean: At World's End,2007,"Adventure, Fantasy, Action",7.26,en
Shane,1953,"Drama, Western",7.363,en
World War Z,2013,"Action, Horror, Science Fiction, Thriller",6.821,en
Captain America: Civil War,2016,"Adventure, Action, Science Fiction",7.447,en
Catch Me If You Can,2002,"Drama, Crime",7.977,en
Venom,2018,"Science Fiction, Action",6.828,en
A Complete Unknown,2024,"Drama, Music",7.132,en
Road House,2024,"Action, Thriller",6.947,en
Annabelle,2014,Horror,5.8,en
Dark City,1998,"Mystery, Science Fiction",7.328,en
Maleficent,2014,"Fantasy, Adventure, Action, Family, Romance",7.089,en
The Brutalist,2024,Drama,7.018,en
The Man Who Shot Liberty Valance,1962,Western,7.797,en
Avengers: Age of Ultron,2015,"Action, Adventure, Science Fiction",7.271,en
Rogue One: A Star Wars Story,2016,"Action, Adventure, Science Fiction",7.499,en
Terminator 2: Judgment Day,1991,"Action, Thriller, Science Fiction",8.127,en
Taxi Driver,1976,"Crime, Drama",8.134,en
Heretic,2024,"Horror, Thriller",7.014,en
